name,domain,da,pa_home,site_url,image_url,kind,recipes_on_punchfork,in_domains,moz_http
My Goodness Kitchen,mygoodnesskitchen.com,38.0,47.0,https://mygoodnesskitchen.com/,https://fastimg1.global.ssl.fastly.net/pub/94/7a/947a5e988c99222684a6ff223c7c74d0_250x250.jpg,blogger,137,no,15
Barley & Sage,barleyandsage.com,37.0,41.0,https://www.barleyandsage.com/,https://fastimg1.global.ssl.fastly.net/pub/09/ec/09ec6c2a975bc918e4e4e5e44dfabe4b_250x250.jpg,blogger,587,no,200
Southern Food and Fun,southernfoodandfun.com,37.0,45.0,https://southernfoodandfun.com/,https://fastimg1.global.ssl.fastly.net/pub/21/1a/211a1ba7330ccfd1d22b99a7c7725de6_250x250.jpg,blogger,521,no,200
On My Kids Plate,onmykidsplate.com,37.0,45.0,https://onmykidsplate.com/,https://fastimg1.global.ssl.fastly.net/pub/75/82/75827d5684710acb21dca8bf46d878d5_250x250.jpg,blogger,515,no,200
Skinny Spatula,skinnyspatula.com,36.0,47.0,https://skinnyspatula.com/,https://fastimg1.global.ssl.fastly.net/pub/c6/4f/c64f5d637c4bf14d8a86940c4e1be07c_250x250.jpg,blogger,600,no,403
Primal Edge Health,primaledgehealth.com,36.0,45.0,https://www.primaledgehealth.com/,https://fastimg1.global.ssl.fastly.net/pub/d4/d1/d4d14ef3b1414f5150e4edfde5e50d69_250x250.jpg,blogger,299,no,200
Cookin with Mima,cookinwithmima.com,35.0,42.0,https://www.cookinwithmima.com/,https://fastimg1.global.ssl.fastly.net/pub/8b/5d/8b5d624fc1e70b5005d215be42b4ccca_250x250.jpg,blogger,755,no,200
Butter & Baggage,butterandbaggage.com,35.0,38.0,https://www.butterandbaggage.com/,https://fastimg1.global.ssl.fastly.net/pub/ce/71/ce71df1bc3c41f6ca95993136048e93c_250x250.jpg,blogger,738,no,200
Mad Creations,madcreationshub.com,35.0,48.0,https://madcreationshub.com/,https://fastimg1.global.ssl.fastly.net/pub/04/b3/04b341dbd8b83c76ac0cdd6b14c2b05f_250x250.jpg,blogger,356,no,200
Appetizer Addiction,appetizeraddiction.com,35.0,42.0,https://www.appetizeraddiction.com/,https://fastimg1.global.ssl.fastly.net/pub/a5/7c/a57ca39edd0c59226482feb86fff35a9_250x250.jpg,blogger,159,no,200
The Bella Vita,the-bella-vita.com,35.0,39.0,https://www.the-bella-vita.com/,https://fastimg1.global.ssl.fastly.net/pub/9f/d2/9fd27b13429bce736cffd48f69f03e2b_250x250.jpg,blogger,152,no,3
Midwestern HomeLife,midwesternhomelife.com,34.0,39.0,https://midwesternhomelife.com/,https://fastimg1.global.ssl.fastly.net/pub/92/8b/928b639e87866e28dd44cc187c5ab8da_250x250.jpg,blogger,358,no,403
AmyCaseyCooks,amycaseycooks.com,34.0,43.0,https://amycaseycooks.com/,https://fastimg1.global.ssl.fastly.net/pub/d7/00/d70095a61d8fec17d4ff87a343cfe216_250x250.jpg,blogger,280,no,200
Peel with Zeal,peelwithzeal.com,33.0,44.0,https://www.peelwithzeal.com/,https://fastimg1.global.ssl.fastly.net/pub/5b/78/5b78130a231555fbcdf9bedb6f95cc64_250x250.jpg,blogger,564,no,403
Thursday Night Pizza,thursdaynightpizza.com,33.0,40.0,https://www.thursdaynightpizza.com/,https://fastimg1.global.ssl.fastly.net/pub/3f/b6/3fb6795aacd72e29dbd3840fd44f75ca_250x250.jpg,blogger,134,no,200
Bakers Table,bakerstable.net,32.0,43.0,https://bakerstable.net/,https://fastimg1.global.ssl.fastly.net/pub/f8/58/f858f1b8e86ac558a275fb9a1c33104a_250x250.jpg,blogger,619,no,200
Little Bit Recipes,littlebitrecipes.com,32.0,42.0,https://littlebitrecipes.com/,https://fastimg1.global.ssl.fastly.net/pub/4a/c5/4ac530c234a275f7a83bb113dc90139a_250x250.jpg,blogger,413,no,200
With Peanut Butter on Top,withpeanutbutterontop.com,32.0,36.0,https://www.withpeanutbutterontop.com/,https://fastimg1.global.ssl.fastly.net/pub/81/98/81989fdea1b801ddca1a0778aea9645a_250x250.jpg,blogger,215,no,200
Grits and Gouda,gritsandgouda.com,32.0,43.0,https://gritsandgouda.com/,https://fastimg1.global.ssl.fastly.net/pub/62/bc/62bcf8fa98c2bc233bbdb576c6f6993a_250x250.jpg,blogger,172,no,200
Slow Cooker Meals,slowcookermeals.com,30.0,38.0,https://slowcookermeals.com/,https://fastimg1.global.ssl.fastly.net/pub/23/dd/23dd987ab6e2611edeb93f474042434d_250x250.jpg,blogger,299,no,200
Lindsey Eats,lindseyeatsla.com,29.0,44.0,https://lindseyeatsla.com/,https://fastimg1.global.ssl.fastly.net/pub/39/cb/39cbe90c360effbb3dd6dc32d1f50e5b_250x250.jpg,blogger,406,no,200
Cooking in The Keys,cookinginthekeys.com,29.0,37.0,https://cookinginthekeys.com/,https://fastimg1.global.ssl.fastly.net/pub/ff/b0/ffb0cfd73e87178b6f15c824f7b75191_250x250.jpg,blogger,297,no,200
Little Nomads Recipes,littlenomadsrecipes.com,29.0,33.0,https://littlenomadsrecipes.com/,https://fastimg1.global.ssl.fastly.net/pub/fc/af/fcaf86e416681d6fd2ef2ff46beff66c_250x250.jpg,blogger,200,no,0
Little Black Skillet,littleblackskillet.com,29.0,32.0,https://littleblackskillet.com/,https://fastimg1.global.ssl.fastly.net/pub/e0/47/e0477c86e767cbe1b3c05d3fc481a04d_250x250.jpg,blogger,199,no,200
